,name,rank,lp,level,wins,losses,most_played_champ_1,most_played_champ_2,most_played_champ_3
0,Δ Desperate,challenger,2047,304,157,90,Kayle,Vayne,Nasus
1,PINH2137,challenger,1827,164,162,105,Rengar,Diana,Orianna
2,człowiek z gapu,challenger,1562,557,207,153,Jayce,Ryze,Yone
3,Boy,challenger,1551,379,112,57,Senna,Cassiopeia,Syndra
4,Trap40,challenger,1456,334,112,78,Kindred,Belveth,Khazix
5,twtv apantsak,challenger,1437,347,174,127,Kalista,Xayah,Vayne
6,Mαjor Alexander,challenger,1322,197,109,73,Samira,Ezreal,Zeri
7,Hobbi,challenger,1322,349,142,106,Jayce,Gragas,Olaf
8,freon huffer,challenger,1305,644,114,91,Ashe,Ezreal,Kaisa
9,LunaTown,challenger,1301,737,124,88,Taric,Maokai,Galio
10,Sylon,challenger,1299,334,196,154,Talon,Akali,Qiyana
11,EUNE janitor,challenger,1206,224,130,98,Leblanc,Quinn,Olaf
12,Δˉˉ,challenger,1168,92,65,24,AurelionSol,TwistedFate,Cassiopeia
13,qzv,challenger,1159,63,64,15,Katarina,Irelia,Akali
14,Alfred Kotva,challenger,1156,464,147,107,Rell,Nautilus,Syndra
15,knifeplay,challenger,1135,64,117,78,Draven,Zeri,Kaisa
16,OPAT04 XDXDXDXD,challenger,1122,85,98,67,Vladimir,Leblanc,Kaisa
17,KTM,challenger,1093,295,113,85,Ashe,KogMaw,Kaisa
18,Snoopy,challenger,1069,419,146,122,Evelynn,Khazix,Diana
19,Tökgyalu,challenger,1060,774,81,51,KSante,Sett,Nautilus
20,TryhardEkko,challenger,1056,423,96,66,Ekko,Viego,Kindred
21,XiaoTaoQi,challenger,1042,698,266,236,Azir,Ryze,Nasus
22,Yamabiko,challenger,1039,212,122,89,Riven,Camille,Khazix
23,Huskar98,challenger,1030,498,124,88,Cassiopeia,Kayle,Syndra
24,DjuMix,challenger,1023,319,90,41,Swain,,
25,Rezeda,challenger,1011,533,145,122,Fiora,Camille,Xayah
26,incarnateWannabe,challenger,1003,647,190,160,Samira,Kaisa,Pyke
27,degen alcoholic,challenger,1003,254,96,58,Malzahar,Zyra,Viktor
28,GG EUNE,challenger,1001,192,132,102,KSante,Renekton,Ashe
29,Gengela Radnik,challenger,1001,339,83,58,KSante,Darius,Olaf
30,POLSKI PAWEŁ PL,challenger,1001,461,116,82,Nautilus,Pyke,Braum
31,Cvetelina UwU,challenger,992,168,156,125,Akali,Ahri,Syndra
32,blood of life,challenger,979,174,126,91,TwistedFate,Karthus,Ryze
33,TTV Goshuujinn,challenger,978,251,155,107,Senna,Ezreal,Draven
34,Ambis,challenger,972,784,146,118,Riven,Aatrox,Camille
35,Puschek,challenger,965,611,123,93,Yasuo,Yone,Akali
36,IDF MENTAL,challenger,961,67,146,90,Kayn,MasterYi,Graves
37,egirl lover69,challenger,961,827,102,84,Qiyana,Diana,Talon
38,user825x43,challenger,958,742,138,107,Kindred,Belveth,JarvanIV
39,Fifarafä ,challenger,949,397,82,51,Ezreal,Janna,Xerath
40,Jachaś Domino,challenger,941,593,159,130,Akali,Sylas,Syndra
41,wagwan piffting,challenger,940,530,117,80,Ashe,Ezreal,Kaisa
42,KiF1a,challenger,940,199,129,103,Khazix,JarvanIV,Hecarim
43,Diviner,challenger,934,596,100,77,Lux,Malphite,Soraka
44,EdisonMill,challenger,927,202,221,200,Thresh,Alistar,Nautilus
45,losersq 4ever,challenger,918,433,99,74,Poppy,KSante,Ekko
46,farewell my love,challenger,915,250,143,102,Lucian,Kaisa,Aphelios
47,Riwoopz,challenger,914,470,104,80,Zoe,Talon,Kaisa
