,name,rank,lp,level,wins,losses,most_played_champ_1,most_played_champ_2,most_played_champ_3
0,Doss not worlds,challenger,1938,69,223,145,Alistar,Nautilus,Rakan
1,hovinko z kose,challenger,1859,612,165,108,Kaisa,Zeri,Aphelios
2,Pipibaat Yarr,challenger,1857,628,196,137,Belveth,Ziggs,Ivern
3,G2 Jorah Mormont,challenger,1824,891,165,108,Bard,Lissandra,Rakan
4,G2 Dracarys,challenger,1739,886,201,155,Leblanc,Azir,Naafiri
5,KC NEXT ADKING,challenger,1735,434,173,128,Kaisa,Draven,Ashe
6,TakeSet sama,challenger,1731,773,187,141,Ezreal,Kaisa,Xayah
7,popsmoke999,challenger,1711,94,191,121,Fiora,Jax,Irelia
8,TheRoyalKanin,challenger,1691,899,200,154,Cassiopeia,Ahri,Ashe
9,Thørs Snorresson,challenger,1646,219,204,154,Viego,Taliyah,Chogath
10,bee goes bzzzzz,challenger,1615,1026,229,181,Viego,Taliyah,Nidalee
11,Grind Arc,challenger,1553,646,213,167,Khazix,Kindred,Lillia
12,Qnoxs,challenger,1542,2025,332,282,Senna,Sona,Janna
13,Walid Georgey,challenger,1532,711,158,113,Nautilus,Rakan,Alistar
14,lyncas good kid,challenger,1511,730,224,178,Taliyah,Viego,LeeSin
15,Chasy jax,challenger,1472,56,154,89,Rumble,Renekton,Aatrox
16,GW Villager,challenger,1458,571,134,95,Taliyah,Nidalee,Khazix
17,rtyfghvbn,challenger,1458,212,129,84,Zeri,Xayah,Kaisa
18,Iuger,challenger,1455,170,204,155,Kalista,Kaisa,Ashe
19,TTV NattyNattLoL,challenger,1453,799,193,162,Rengar,JarvanIV,LeeSin
20,DONATELL0,challenger,1415,1085,130,89,Zeri,Xayah,Kaisa
21,alvarooo,challenger,1413,897,146,112,Rakan,Nautilus,Rell
22,PatkicaA,challenger,1407,645,179,137,Poppy,Volibear,Renekton
23,G2ThreeEyeDraven,challenger,1398,121,170,139,Kaisa,Draven,Kalista
24,BDS xMatty,challenger,1387,728,241,201,Ezreal,Kaisa,Xayah
25,S P L A S H 777,challenger,1386,829,196,159,Evelynn,RekSai,Kayn
26,Tooru Oikawa,challenger,1379,198,246,203,Kaisa,Zeri,Xayah
27,why losee,challenger,1368,271,171,121,Orianna,Jayce,Azir
28,G2ThreeEyedSwain,challenger,1357,420,107,66,Swain,KSante,Kled
29,Odysseus131,challenger,1351,997,107,75,Taliyah,Orianna,Akshan
30,MagiFelix5,challenger,1351,661,558,511,Yasuo,Yone,TwistedFate
31,SK Sertuss,challenger,1337,949,249,206,Tristana,Leblanc,Akali
32,Vasshu Sutanpido,challenger,1335,1691,240,194,Rakan,Rell,Braum
33,lilRALLERDABABY,challenger,1335,100,107,62,Nidalee,Khazix,Xerath
34,187 361 21,challenger,1329,1152,247,208,Kaisa,Kalista,Xayah
35,B Butcher,challenger,1324,153,141,100,Rell,Rakan,Alistar
36,tomthecat,challenger,1318,119,201,139,Leblanc,Naafiri,Ahri
37,Kenal,challenger,1317,474,175,136,Kaisa,Zeri,Xayah
38,Groinze,challenger,1316,119,243,214,Kindred,Maokai,Rell
39,Myrtus,challenger,1310,634,216,185,Rakan,Alistar,Senna
40,T1 FSZ,challenger,1303,909,227,185,Neeko,Akali,Leblanc
41,Jopa Locura,challenger,1300,263,172,132,Seraphine,Nilah,Zeri
42,Incandescence33,challenger,1300,236,251,209,Ahri,Tristana,Syndra
43,Melonik sama,challenger,1292,640,181,144,KSante,Renekton,Rumble
44,Decay0,challenger,1281,1139,304,270,Ahri,Leblanc,Jayce
45,fιght,challenger,1275,623,233,199,Renekton,KSante,Aatrox
46,Jojopyun fangirl,challenger,1272,443,121,83,Fiddlesticks,Viego,Poppy
47,Envy Carry,challenger,1272,1308,201,168,Jayce,Kayn,Leblanc
